ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10229145,HY416500,9/9/2015 11:15,003XX E 51ST ST,860,THEFT,RETAIL THEFT,TAVERN/LIQUOR STORE,TRUE,FALSE,231,2,3,40,6,1179102,1871273,2015,2/10/2018 15:50,41.80206507,-87.6186847,"(41.802065071, -87.618684697)"
10229146,HY416380,9/7/2015 23:00,026XX S KARLOV AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1031,10,22,30,6,1149472,1886192,2015,2/10/2018 15:50,41.84362952,-87.72696458,"(41.843629517, -87.726964584)"
10229147,HY416512,9/3/2015 13:00,052XX W HARRISON ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,1522,15,29,25,11,1141439,1896815,2015,9/17/2015 11:34,41.87293233,-87.75618236,"(41.872932333, -87.756182355)"
10229148,HY415112,9/7/2015 16:49,053XX S LOWE AVE,580,STALKING,SIMPLE,RESIDENCE,FALSE,FALSE,935,9,3,61,08A,1172873,1869438,2015,2/10/2018 15:50,41.79716949,-87.64158301,"(41.797169487, -87.641583005)"
10229149,HY416497,9/9/2015 11:00,026XX W 22ND PL,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1034,10,28,30,18,1159046,1888961,2015,2/10/2018 15:50,41.85103709,-87.69175392,"(41.851037093, -87.691753922)"
10229150,HY416518,9/9/2015 11:28,057XX W JACKSON BLVD,460,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,1513,15,29,25,08B,1138093,1898299,2015,2/10/2018 15:50,41.87706571,-87.76843142,"(41.87706571, -87.768431424)"
10229151,HY416535,9/9/2015 11:30,053XX W CHICAGO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1524,15,37,25,18,1140762,1904819,2015,2/10/2018 15:50,41.89490878,-87.75847112,"(41.89490878, -87.758471123)"
10229152,HY416216,9/4/2015 13:30,005XX W ARLINGTON PL,810,THEFT,OVER $500,SIDEWALK,FALSE,FALSE,1935,19,43,7,6,1172204,1916654,2015,2/10/2018 15:50,41.92674849,-87.64264334,"(41.926748485, -87.642643335)"
10229153,HY416227,9/8/2015 12:10,034XX S DR MARTIN LUTHER KING JR DR,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,211,2,4,35,6,1179476,1882211,2015,2/10/2018 15:50,41.83207129,-87.61697868,"(41.832071291, -87.616978684)"
10229156,HY416451,9/8/2015 10:30,013XX W HARRISON ST,810,THEFT,OVER $500,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1231,12,2,28,6,1167465,1897475,2015,2/10/2018 15:50,41.87422347,-87.66060958,"(41.874223466, -87.660609583)"
10229157,HY416483,9/8/2015 9:00,033XX N CAMPBELL AVE,890,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,1921,19,47,5,6,1159095,1922045,2015,2/10/2018 15:50,41.94182141,-87.69066452,"(41.941821405, -87.690664522)"
10229160,HY416465,9/7/2015 15:00,076XX S CORNELL AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,411,4,8,43,3,1188559,1854751,2015,2/10/2018 15:50,41.75650639,-87.58453017,"(41.756506394, -87.584530167)"
10229161,HY416462,9/9/2015 10:45,041XX W POTOMAC AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,2534,25,37,23,08B,1148644,1908342,2015,2/10/2018 15:50,41.90442769,-87.72943129,"(41.904427691, -87.729431291)"
10229162,HY416552,9/3/2015 15:56,012XX W NORTH AVE,820,THEFT,$500 AND UNDER,DEPARTMENT STORE,TRUE,FALSE,1433,14,32,24,6,1168038,1910796,2015,2/10/2018 15:50,41.91076487,-87.65812092,"(41.910764867, -87.658120918)"
